Кривой -37.23 13.44 Человек 1693235249.98678
Магазин 0.163 2.119 Здание 1693135218.173
Лада 1118.3 -982.041 Машина 1692748121.63
Яда 198.3 -1.041 Машина 1692748121.63
Яда 4.3 982.041 Машина 1692748121.63
Яда -1.3 982.041 Машина 1692748121.63
Аада 0.3 -982.041 Машина 1692748121.63
Бада 1.3 -15.041 Машина 1692748121.63
Вада 2.3 0.041 Машина 1692748121.63
Вада 5.3 0.041 Машина 1692748121.63
Вада 2.1 0.041 Машина 1692748121.63
Вада 4 0.041 Машина 1692748121.63
Вада 1 0.041 Машина 1692748121.63
Яда 198.3 982.041 Машина 1692748121.63
Яда 198.3 982.041 Машина 1692748121.63
Яда 198.3 404.1 Машина 1692748121.63
Яда 198.3 982.043 Машина 1692748121.63
Яда 198.3 15.041 Машина 1692748121.63
Яда 198.3 1.041 Машина 1692748121.63
Клеус 198.3 1.041 Мяч 1599523200.78
Оранжевый 198.3 1.041 Конус 1599523200.78
Рыжик 1.3 1.141 Кот 1599523200.78
Вада 1 0.041 Машина 1692748121.63
Яда 198.3 404.1 Карандаш 1692748121.63
Яда 198.3 982.043 Маркер 1692748121.63
Яда 198.3 15.041 Машина 1692748121.63
Яда 198.3 1.041 Машина 1692748121.63
Клеус 198.3 1.041 Мяч 1599523200.78
Оранжевый 198.3 1.041 Конус 1599523200.78
Рыжик 1.3 1.141 Кот 1599523200.78
Вада 1 0.041 Машина 1692748121.63
Яда 198.3 404.1 Карандаш 1692748121.63
Яда 198.3 982.043 Маркер 1692748121.63
Яда 198.3 15.041 Машина 1692748121.63
Яда 198.3 1.041 Машина 1692748121.63
Клеус 198.3 1.041 Мяч 1599523200.78
Оранжевый 198.3 1.041 Конус 1599523200.78
Рыжик 1.3 1.141 Кот 1599523200.78
